name;period;certificate;institution;level
JavaScript: programando a Orientação a Objetos;set de 2022;https://cursos.alura.com.br/certificate/43a39e20-c39f-45b9-b1dc-118595f502b3?lang=pt_BR;Alura;Curso Online
Angular e RxJS: programação reativa;set de 2022;https://cursos.alura.com.br/certificate/6c825d96-f9fd-471a-b295-3329ae67955b?lang=pt_BR;Alura;Curso Online
Angular: avançando com testes automatizados;ago de 2022;https://cursos.alura.com.br/certificate/33bca2b6-bc1a-4313-8f2d-56d9946e86ac?lang=pt_BR;Alura;Curso Online
Angular: testes automatizados com Jasmine e Karma;jul de 2022;https://cursos.alura.com.br/certificate/f295f853-d572-4b87-a2c8-d026e7200ca7?lang=pt_BR;Alura;Curso Online
Angular: avançando no design de componentes com acessibilidade;jul de 2022;https://cursos.alura.com.br/certificate/ae4858ed-a5b3-4050-be82-cff4ad12d331?lang=pt_BR;Alura;Curso Online
Angular: design de componentes com acessibilidade;mai de 2022;https://cursos.alura.com.br/certificate/8dd46b0c-c4ad-4a8e-b806-641d6a713a24?lang=pt_BR;Alura;Curso Online
Angular: controle o fluxo de navegação;mar de 2022;https://cursos.alura.com.br/certificate/0397c349-4e78-4aa2-b1ce-d1870d6904d4?lang=pt_BR;Alura;Curso Online
Docker: criando e gerenciando containers;mar de 2022;https://cursos.alura.com.br/certificate/7f4b689e-f91c-4d5d-a85d-35c67d035a22?lang=pt_BR;Alura;Curso Online
Terraform: automatize a infraestrutura na nuvem;fev de 2022;https://cursos.alura.com.br/certificate/de8907b5-4cdd-400d-9b95-64cc1e0d4238?lang=pt_BR;Alura;Curso Online
Angular: boas práticas em arquiteturas e formulários;fev de 2022;https://cursos.alura.com.br/certificate/a4d6c6c9-16df-435b-aeae-69503a036a11?lang=pt_BR;Alura;Curso Online
Angular: explorando o framework;fev de 2022;https://cursos.alura.com.br/certificate/2a56725a-2731-45fb-833a-44b1e9564e79?lang=pt_BR;Alura;Curso Online
Ansible: sua infraestrutura como código;fev de 2022;https://cursos.alura.com.br/certificate/a3238ab7-0cae-40e3-b07d-e7ef66404b07?lang=pt_BR;Alura;Curso Online
Linux II: programas, processos e pacotes;jan de 2022;https://cursos.alura.com.br/certificate/e380e8eb-3cf0-45a3-94f7-ec94c4f947bd?lang=pt_BR;Alura;Curso Online
Vagrant: gerenciando máquinas virtuais;jan de 2022;https://cursos.alura.com.br/certificate/134e12ec-fbed-4ec3-9c63-25725039d603?lang=pt_BR;Alura;Curso Online
Docker: Criando containers sem dor de cabeça;jan de 2022;https://cursos.alura.com.br/certificate/4c577139-f56a-4568-803d-9570c64dae89?lang=pt_BR;Alura;Curso Online
Linux I: conhecendo e utilizando o terminal;dez de 2021;https://cursos.alura.com.br/certificate/994cb7b8-bf66-4c86-a70d-20fa10c3ea6d?lang=pt_BR;Alura;Curso Online
